"","Montagnard","Travailler","Habiter","Altitude"
"293","Oui","0","Non",226
"296","Non","0","Non",222
"297","Non","1","Non",82
"299","Non","0","Non",110
"300","Oui","0","Non",78
"301","Oui","0","Non",47
"302","Non","0","Non",58
"304","Non","0","Non",333
"306","Non","0","Non",549
"308","Oui","1","Non",702
"309","Oui","1","Non",132
"310","Oui","1","Non",132
"311","Oui","0","Non",132
"313","Oui","0","Non",320
"314","Oui","0","Non",320
"315","Oui","1","Non",320
"316","Oui","0","Non",320
"317","Oui","0","Non",320
"318","Oui","0","Non",320
"319","Oui","2","Non",320
"320","Non","0","Non",320
"321","Oui","1","Oui",320
"323","Non","0","Non",320
"326","Oui","0","Non",320
"327","Oui","0","Oui",320
"328","Non","0","Non",320
"330","Oui","0","Oui",320
"332","Oui","2","Oui",835
"334","Oui","1","Oui",927
"335","Oui","1","Oui",914
"336","Oui","2","Oui",914
"338","Oui","0","Non",353
"340","Non","0","Non",353
"341","Oui","0","Non",912
"342","Non","0","Non",1145
"345","Non","0","Non",989
"347","Oui","0","Oui",1101
"349","Oui","2","Oui",941
"350","Oui","2","Oui",847
"351","Oui","2","Oui",847
"352","Oui","0","Non",327
"353","Oui","2","Oui",921
"354","Oui","0","Non",410
"355","Oui","0","Non",354
"356","Oui","0","Non",278
"357","Non","0","Non",278
"358","Oui","1","Oui",336
"361","Oui","1","Non",147
"362","Oui","0","Non",147
"363","Oui","0","Oui",147
"364","Oui","0","Non",147
"365","Oui","0","Non",147
"366","Oui","0","Non",147
"367","Oui","0","Non",147
"370","Oui","0","Non",147
"371","Oui","0","Non",147
"372","Oui","0","Non",147
"373","Oui","0","Non",147
"374","Oui","2","Oui",147
"375","Oui","0","Non",147
"376","Oui","1","Non",147
"377","Oui","0","Non",147
"378","Oui","0","Non",147
"379","Non","0","Non",180
"381","Oui","0","Non",180
"382","Oui","0","Non",180
"383","Oui","0","Non",180
"384","Non","0","Non",180
"385","Oui","0","Non",180
"386","Non","0","Non",180
"387","Oui","0","Non",180
"389","Non","1","Oui",396
"391","Non","0","Non",210
"392","Oui","0","Non",210
"393","Oui","0","Non",210
"394","Oui","0","Oui",210
"395","Non","1","Oui",210
"396","Oui","0","Non",210
