"","Montagnard","Travailler","Habiter","Altitude"
"1275","Oui","0","Oui",219
"1276","Non","0","Non",219
"1277","Oui","1","Oui",219
"1279","Oui","0","Non",219
"1281","Oui","1","Oui",219
"1282","Oui","0","Non",219
"1283","Oui","0","Non",219
"1285","Oui","0","Non",219
"1286","Oui","0","Non",219
"1287","Oui","2","Oui",219
"1288","Oui","0","Non",219
"1289","Oui","0","Non",219
"1291","Oui","0","Non",219
"1292","Oui","0","Non",219
"1293","Non","0","Non",219
"1294","Oui","0","Non",219
"1296","Oui","0","Non",219
"1297","Non","0","Non",219
"1298","Oui","0","Oui",219
"1299","Non","0","Non",219
"1301","Oui","0","Non",219
"1302","Oui","0","Non",219
"1303","Oui","0","Non",219
"1304","Oui","0","Non",219
"1305","Oui","0","Non",219
"1306","Non","0","Non",219
"1307","Oui","0","Non",219
"1311","Oui","0","Non",219
"1312","Oui","0","Non",219
"1313","Oui","0","Non",219
"1315","Oui","1","Non",219
"1317","Oui","0","Oui",219
"1319","Oui","0","Non",219
"1320","Oui","0","Non",219
"1321","Non","0","Non",219
"1322","Oui","0","Non",219
"1324","Oui","0","Non",219
"1325","Oui","1","Non",219
"1326","Non","0","Non",219
"1327","Oui","0","Non",219
"1328","Oui","0","Non",219
"1329","Oui","0","Non",219
"1330","Oui","0","Non",219
"1331","Oui","0","Non",219
"1332","Oui","0","Non",219
"1333","Oui","0","Non",219
"1334","Oui","0","Non",219
"1337","Oui","1","Oui",219
"1340","Oui","2","Oui",219
"1342","Oui","0","Non",219
"1343","Oui","0","Non",219
"1344","Oui","1","Non",219
"1345","Oui","0","Non",219
"1346","Oui","1","Non",219
"1347","Oui","2","Non",219
"1348","Oui","0","Non",219
"1349","Oui","0","Non",219
"1350","Oui","0","Non",219
"1351","Non","0","Non",219
"1353","Oui","1","Non",219
"1354","Oui","0","Non",219
"1355","Oui","0","Non",219
"1356","Non","0","Non",219
"1357","Oui","1","Non",219
"1358","Oui","0","Non",219
"1360","Oui","0","Non",219
"1361","Oui","0","Non",219
"1363","Oui","0","Non",219
"1365","Oui","0","Oui",219
"1367","Oui","0","Non",386
"1368","Oui","0","Non",386
"1369","Oui","0","Non",386
"1370","Oui","0","Non",386
"1372","Oui","0","Non",386
"1373","Non","0","Non",386
"1374","Oui","0","Non",386
"1375","Oui","0","Non",386
"1376","Oui","2","Oui",1184
"1377","Oui","1","Oui",1184
"1378","Oui","2","Oui",1184
"1379","Oui","2","Oui",1184
"1381","Oui","1","Oui",1184
"1382","Oui","2","Oui",1184
"1383","Oui","1","Oui",1184
"1384","Oui","2","Oui",1184
"1385","Oui","2","Oui",1184
"1387","Oui","2","Oui",1184
"1389","Oui","2","Oui",1184
"1390","Oui","2","Oui",1184
"1391","Oui","2","Oui",1184
"1392","Oui","2","Oui",1184
"1393","Non","0","Non",538
"1395","Oui","0","Oui",1764
"1397","Oui","2","Oui",1764
"1398","Oui","0","Oui",1764
"1399","Oui","2","Oui",1764
"1400","Oui","0","Oui",1764
"1401","Non","2","Oui",1764
"1402","Oui","2","Oui",1764
"1403","Oui","1","Oui",983
"1404","Oui","0","Oui",983
"1406","Oui","2","Oui",983
"1407","Oui","0","Oui",983
"1409","Oui","0","Non",331
"1410","Oui","0","Oui",331
"1411","Oui","0","Non",331
"1413","Oui","0","Non",331
"1414","Oui","0","Non",331
"1415","Oui","0","Non",331
"1417","Oui","0","Oui",331
"1418","Oui","0","Non",331
"1419","Oui","2","Oui",331
"1420","Oui","0","Non",331
"1421","Oui","0","Non",331
"1422","Oui","0","Oui",331
"1423","Oui","0","Non",331
"1424","Non","0","Non",331
"1426","Oui","0","Non",331
"1428","Non","0","Non",270
"1429","Oui","0","Non",270
"1430","Oui","0","Non",238
"1431","Oui","0","Non",238
"1432","Oui","0","Non",238
"1433","Oui","0","Non",238
"1434","Oui","0","Non",238
"1435","Oui","0","Non",238
"1437","Oui","1","Non",238
"1438","Oui","0","Non",238
"1439","Oui","0","Non",238
"1440","Oui","0","Oui",238
"1442","Oui","0","Non",238
"1443","Oui","0","Non",238
"1444","Oui","0","Non",238
"1445","Oui","0","Non",238
"1447","Oui","0","Non",238
"1448","Oui","0","Non",238
"1449","Oui","0","Non",238
"1452","Oui","2","Oui",749
"1456","Oui","0","Non",414
"1457","Oui","0","Non",414
"1458","Oui","0","Non",414
"1459","Oui","0","Non",414
"1460","Oui","0","Non",414
"1461","Oui","0","Non",414
"1462","Oui","0","Non",414
"1464","Oui","0","Oui",2009
"1465","Oui","2","Oui",2009
"1466","Oui","2","Oui",2009
"1467","Oui","2","Oui",2009
"1468","Oui","2","Oui",2009
"1469","Oui","1","Oui",2009
"1470","Oui","0","Oui",1194
"1471","Oui","0","Non",229
"1472","Non","0","Non",229
"1474","Oui","0","Non",309
"1475","Oui","2","Non",309
"1476","Oui","0","Non",309
"1477","Oui","0","Non",309
"1478","Oui","0","Non",585
"1480","Oui","0","Non",585
"1481","Oui","0","Non",585
"1482","Non","0","Non",585
"1483","Oui","0","Oui",585
"1485","Oui","0","Oui",585
"1486","Non","0","Non",585
"1488","Oui","1","Oui",585
"1489","Oui","0","Non",585
"1490","Oui","1","Non",585
"1492","Oui","0","Oui",585
"1494","Oui","0","Oui",585
"1495","Non","0","Non",585
"1496","Oui","0","Non",585
"1498","Oui","0","Non",585
"1499","Non","0","Non",585
"1500","Oui","0","Non",585
"1501","Oui","2","Oui",585
"1502","Oui","0","Non",524
"1504","Oui","0","Non",524
"1505","Oui","0","Non",524
"1506","Oui","0","Non",524
"1508","Oui","0","Oui",524
"1510","Oui","2","Oui",248
"1511","Oui","0","Non",248
"1513","Oui","1","Oui",248
"1514","Non","0","Non",248
"1515","Oui","0","Oui",248
"1516","Oui","0","Non",248
"1517","Oui","0","Oui",248
"1519","Oui","0","Oui",248
"1520","Oui","0","Oui",248
"1521","Non","0","Oui",248
"1522","Oui","2","Oui",248
"1523","Oui","0","Non",248
"1524","Non","0","Oui",248
"1525","Oui","0","Non",248
"1526","Oui","1","Non",248
"1527","Non","0","Non",248
"1528","Oui","0","Non",248
"1529","Oui","0","Non",248
"1530","Oui","1","Oui",248
"1531","Oui","1","Non",248
"1532","Oui","2","Oui",248
"1533","Oui","0","Oui",248
"1534","Oui","2","Oui",248
"1535","Non","0","Non",248
"1538","Oui","0","Oui",248
"1539","Oui","0","Non",248
"1540","Oui","0","Non",248
"1541","Oui","0","Oui",248
"1542","Oui","2","Oui",248
"1543","Oui","1","Oui",248
"1545","Oui","0","Oui",248
"1546","Non","1","Non",248
"1548","Oui","1","Oui",248
"1549","Oui","0","Oui",248
"1550","Oui","0","Oui",248
"1551","Oui","0","Non",248
"1552","Oui","0","Non",248
"1553","Oui","0","Oui",248
"1554","Oui","0","Oui",248
"1555","Non","0","Non",248
"1556","Oui","0","Non",248
"1558","Oui","0","Oui",248
"1559","Oui","0","Non",251
"1560","Non","0","Non",251
"1561","Non","0","Non",251
"1562","Oui","1","Non",251
"1563","Non","0","Non",251
"1564","Oui","0","Non",251
"1565","Oui","2","Non",306
"1566","Oui","1","Non",306
"1567","Oui","0","Non",306
"1568","Oui","0","Non",306
"1569","Oui","0","Non",306
"1570","Oui","0","Non",306
"1572","Oui","0","Non",394
"1573","Oui","1","Oui",394
"1576","Oui","2","Oui",394
"1578","Oui","0","Non",394
"1579","Oui","0","Non",217
"1580","Oui","0","Non",300
"1582","Oui","1","Non",300
"1584","Oui","0","Non",300
"1585","Oui","0","Non",300
"1589","Oui","0","Non",300
"1590","Oui","1","Non",300
"1591","Oui","1","Oui",300
"1592","Oui","2","Non",300
"1593","Oui","0","Non",300
"1594","Non","0","Oui",300
"1596","Oui","0","Non",300
"1597","Oui","0","Non",300
"1598","Oui","0","Non",300
"1599","Oui","0","Non",300
"1601","Oui","0","Oui",300
"1602","Oui","0","Non",300
"1604","Oui","0","Non",300
"1605","Oui","2","Oui",300
"1606","Oui","0","Non",300
"1607","Oui","0","Oui",300
"1608","Oui","0","Non",300
"1609","Oui","0","Non",300
"1610","Oui","0","Non",300
"1611","Oui","0","Oui",300
"1612","Oui","0","Non",300
"1613","Oui","0","Non",300
"1615","Oui","1","Non",300
"1616","Oui","0","Oui",1308
"1617","Oui","2","Oui",1308
"1618","Oui","2","Oui",1308
"1619","Oui","2","Oui",1308
"1620","Oui","0","Oui",1308
"1621","Oui","0","Oui",1308
"1622","Oui","0","Oui",1308
"1623","Oui","2","Oui",1308
"1624","Non","0","Oui",1308
"1625","Oui","2","Oui",1308
"1626","Oui","2","Oui",1308
"1627","Oui","0","Oui",1308
"1628","Oui","2","Oui",1308
"1629","Oui","0","Oui",1308
"1630","Oui","1","Oui",1308
"1631","Oui","2","Oui",1308
"1632","Oui","0","Oui",1308
"1633","Oui","0","Oui",1308
"1634","Oui","0","Oui",1308
"1635","Oui","1","Oui",1308
"1636","Oui","1","Oui",1308
"1638","Oui","2","Oui",1308
"1639","Oui","2","Oui",1308
"1640","Oui","2","Oui",1308
"1641","Oui","2","Oui",1308
"1643","Oui","2","Oui",1308
"1645","Oui","2","Oui",1308
"1646","Oui","2","Oui",1308
"1647","Oui","2","Oui",1308
"1648","Oui","2","Oui",1308
"1650","Oui","2","Oui",1308
"1651","Oui","2","Oui",1308
"1652","Oui","0","Oui",1308
"1653","Oui","2","Oui",1308
"1654","Oui","2","Oui",1308
"1655","Oui","2","Oui",1308
"1656","Oui","2","Oui",1308
"1657","Oui","1","Oui",1308
"1658","Oui","2","Oui",1308
"1659","Oui","2","Oui",1308
"1660","Non","0","Oui",1308
"1661","Oui","2","Oui",1308
"1662","Oui","2","Oui",1308
"1665","Oui","1","Oui",1308
"1666","Oui","2","Oui",1308
"1667","Oui","2","Oui",1308
"1668","Oui","2","Oui",1308
"1669","Oui","1","Oui",1308
"1670","Oui","2","Oui",1308
"1671","Oui","2","Oui",1308
"1672","Oui","2","Oui",1308
"1673","Oui","0","Oui",1308
"1674","Oui","0","Oui",1308
"1675","Non","2","Oui",1308
"1676","Oui","2","Oui",1308
"1679","Oui","1","Oui",1308
"1680","Oui","0","Oui",1308
"1681","Oui","2","Oui",1308
"1682","Oui","2","Oui",1308
"1683","Oui","2","Oui",1308
"1685","Oui","2","Oui",1308
"1687","Oui","2","Oui",1308
"1688","Non","0","Oui",1308
"1689","Oui","0","Oui",1308
"1690","Oui","2","Oui",1308
"1691","Oui","0","Oui",1308
"1692","Oui","2","Oui",1308
"1693","Oui","0","Non",1308
"1696","Oui","2","Oui",1308
"1697","Oui","2","Oui",1308
"1698","Oui","2","Oui",1308
"1699","Oui","2","Oui",1308
"1701","Oui","2","Oui",1308
"1702","Oui","1","Oui",1308
"1705","Oui","2","Oui",1308
"1709","Oui","1","Non",394
"1710","Non","0","Non",394
"1711","Oui","0","Non",394
"1712","Oui","0","Non",215
"1713","Oui","0","Non",220
"1714","Oui","0","Non",220
"1717","Oui","0","Non",265
"1718","Non","0","Non",265
"1719","Oui","0","Non",265
"1720","Oui","0","Non",265
"1722","Oui","0","Non",265
"1723","Oui","0","Non",265
"1725","Oui","0","Non",265
"1726","Non","0","Non",265
"1728","Oui","0","Oui",247
"1729","Oui","0","Non",247
"1731","Oui","0","Non",247
"1732","Oui","2","Non",247
"1733","Oui","0","Non",247
"1734","Oui","0","Non",247
"1735","Oui","0","Non",247
"1736","Oui","0","Non",247
"1737","Oui","0","Non",247
"1739","Oui","0","Oui",247
"1741","Oui","0","Oui",247
"1742","Oui","0","Non",247
"1743","Oui","0","Non",247
"1744","Oui","0","Non",247
"1745","Oui","1","Non",247
"1746","Oui","1","Non",247
"1748","Oui","0","Oui",247
"1749","Oui","0","Non",247
"1750","Oui","0","Non",247
"1753","Oui","0","Oui",247
"1756","Oui","0","Non",497
"1757","Oui","0","Oui",497
"1759","Oui","0","Non",497
"1761","Oui","0","Non",497
"1763","Oui","0","Non",497
"1764","Oui","0","Oui",497
"1766","Oui","0","Oui",497
"1767","Oui","0","Non",497
"1768","Oui","0","Non",497
"1770","Non","0","Non",497
"1772","Oui","0","Non",497
"1774","Non","0","Non",497
"1775","Oui","0","Oui",497
"1776","Oui","0","Non",497
"1777","Oui","0","Oui",497
"1778","Oui","0","Non",497
"1779","Oui","0","Non",497
"1781","Oui","0","Oui",497
"1784","Oui","0","Oui",497
"1785","Non","0","Non",409
"1786","Oui","0","Oui",409
"1787","Non","0","Oui",409
"1788","Non","0","Non",409
"1791","Oui","0","Non",409
"1792","Oui","0","Non",409
"1793","Oui","0","Oui",409
"1794","Oui","0","Non",409
"1795","Oui","2","Oui",886
"1796","Oui","0","Oui",886
"1798","Oui","2","Oui",886
"1799","Oui","0","Oui",886
"1800","Oui","0","Oui",886
"1801","Oui","1","Oui",886
"1802","Oui","2","Oui",886
"1804","Oui","2","Oui",886
"1806","Oui","2","Oui",886
"1807","Oui","1","Oui",886
"1809","Oui","0","Non",466
"1810","Oui","0","Non",466
"1812","Oui","0","Non",466
"1813","Non","0","Non",466
"1814","Oui","1","Oui",466
"1816","Oui","0","Non",466
"1819","Oui","2","Oui",719
"1820","Oui","0","Oui",719
"1821","Oui","0","Oui",719
"1822","Oui","2","Oui",719
"1823","Oui","2","Oui",719
"1824","Oui","2","Oui",719
"1825","Oui","0","Oui",719
"1826","Oui","0","Oui",719
"1827","Oui","2","Oui",719
"1828","Oui","0","Oui",719
"1829","Oui","0","Oui",719
"1830","Oui","2","Oui",719
"1832","Oui","0","Oui",719
"1834","Oui","0","Oui",719
"1836","Oui","0","Non",254
"1837","Oui","0","Oui",254
"1840","Oui","2","Oui",254
"1842","Oui","0","Non",254
"1843","Oui","0","Non",254
"1844","Oui","1","Non",254
"1845","Oui","1","Non",254
"1846","Non","0","Non",254
"1848","Oui","0","Oui",254
"1849","Oui","0","Non",254
"1850","Oui","1","Non",254
"1851","Oui","0","Non",254
"1852","Oui","0","Non",254
"1853","Oui","0","Non",254
"1854","Oui","0","Oui",254
"1855","Oui","2","Oui",254
"1856","Oui","0","Non",254
"1859","Oui","0","Non",254
"1860","Oui","1","Non",254
"1861","Oui","0","Non",254
"1863","Oui","0","Non",254
"1864","Oui","2","Oui",254
"1865","Oui","0","Non",254
"1866","Oui","0","Non",254
"1868","Oui","0","Non",254
"1869","Oui","1","Non",254
"1870","Oui","0","Non",254
"1871","Oui","1","Non",254
"1872","Oui","0","Non",254
"1873","Oui","0","Non",254
"1876","Oui","0","Non",254
"1878","Oui","0","Non",254
"1879","Oui","1","Non",254
"1880","Oui","0","Non",254
"1881","Oui","0","Non",254
"1882","Oui","0","Non",254
"1884","Non","0","Non",885
"1885","Oui","0","Oui",885
"1886","Oui","0","Oui",885
"1887","Oui","2","Oui",885
"1888","Oui","2","Oui",885
"1891","Oui","1","Oui",885
"1892","Non","0","Oui",885
"1895","Oui","0","Oui",885
"1896","Oui","0","Oui",885
"1898","Oui","1","Oui",885
"1899","Oui","0","Oui",885
"1900","Oui","0","Oui",885
"1901","Oui","0","Oui",885
"1902","Non","0","Oui",885
"1903","Non","0","Non",885
"1905","Non","2","Oui",885
"1906","Oui","0","Oui",885
"1907","Oui","1","Oui",885
"1908","Oui","0","Oui",885
"1909","Oui","0","Oui",885
"1910","Oui","0","Oui",885
"1911","Oui","0","Non",885
"1912","Oui","0","Oui",885
"1913","Oui","0","Oui",885
"1914","Non","2","Oui",885
"1915","Oui","1","Oui",885
"1916","Non","1","Non",885
"1917","Oui","1","Oui",885
"1918","Oui","0","Oui",255
"1919","Oui","0","Oui",255
"1920","Oui","0","Non",255
"1921","Oui","1","Oui",255
"1922","Oui","0","Oui",255
"1923","Oui","1","Oui",255
"1924","Oui","0","Oui",255
"1925","Oui","2","Oui",255
"1926","Oui","2","Oui",255
"1930","Non","0","Oui",255
"1931","Oui","0","Non",255
"1932","Oui","0","Oui",255
"1933","Oui","0","Oui",255
"1934","Oui","0","Oui",255
"1935","Oui","2","Oui",255
"1936","Oui","0","Non",255
"1938","Oui","0","Non",255
"1939","Oui","0","Oui",255
"1940","Oui","0","Non",255
"1941","Oui","0","Oui",255
"1942","Non","0","Non",255
"1943","Oui","2","Oui",255
"1944","Oui","1","Non",255
"1945","Oui","2","Non",255
"1946","Oui","2","Oui",255
"1948","Oui","0","Oui",255
"1949","Oui","0","Oui",255
"1951","Oui","0","Oui",255
"1953","Oui","0","Oui",255
"1954","Oui","1","Oui",255
"1956","Oui","1","Oui",255
"1957","Oui","0","Non",205
"1958","Oui","0","Non",205
"1959","Oui","0","Non",205
"1960","Non","0","Non",205
"1961","Oui","0","Oui",205
"1962","Non","0","Non",205
"1966","Non","0","Non",485
"1968","Oui","2","Oui",485
"1969","Oui","0","Non",485
"1970","Oui","0","Oui",485
"1971","Oui","0","Non",485
"1972","Oui","0","Non",485
"1973","Oui","0","Oui",485
"1974","Oui","0","Non",485
"1975","Oui","0","Non",485
"1976","Oui","0","Non",267
"1977","Oui","0","Non",267
"1978","Non","0","Non",267
"1979","Non","0","Non",267
"1980","Oui","0","Non",331
"1983","Oui","0","Non",331
"1985","Oui","2","Oui",331
"1987","Oui","0","Non",289
"1988","Oui","0","Non",289
"1989","Non","0","Non",289
"1990","Oui","1","Non",358
"1991","Oui","0","Non",454
"1992","Oui","0","Non",454
"1994","Oui","0","Oui",454
"1995","Oui","1","Non",454
"1997","Non","0","Oui",454
"2000","Non","0","Non",454
"2001","Oui","0","Oui",454
"2003","Oui","0","Non",454
"2007","Non","0","Non",454
"2008","Non","0","Non",454
"2009","Oui","0","Non",454
"2011","Oui","2","Oui",454
"2012","Oui","0","Non",454
"2013","Oui","2","Oui",454
"2014","Oui","0","Non",454
"2016","Oui","1","Non",454
"2017","Oui","0","Non",454
"2018","Oui","0","Non",454
"2019","Oui","0","Non",454
"2020","Oui","0","Non",454
"2022","Oui","0","Non",454
"2023","Oui","0","Non",454
"2024","Oui","0","Non",454
"2025","Non","0","Oui",454
"2026","Oui","0","Non",454
"2028","Oui","2","Oui",1324
"2029","Oui","2","Oui",1324
"2030","Oui","2","Oui",1324
"2031","Oui","1","Oui",1324
"2032","Oui","2","Oui",1324
"2033","Oui","2","Oui",1324
"2034","Oui","1","Oui",1324
"2035","Oui","1","Oui",1324
"2036","Oui","2","Oui",1324
"2037","Non","0","Non",427
"2039","Non","0","Oui",427
"2041","Oui","0","Oui",427
"2042","Non","2","Oui",427
"2043","Oui","0","Oui",427
"2044","Oui","0","Non",427
"2046","Oui","0","Non",427
"2047","Non","0","Non",427
"2048","Oui","1","Oui",427
"2049","Oui","0","Non",427
"2051","Non","1","Oui",427
"2053","Non","0","Non",427
"2054","Oui","1","Oui",427
"2055","Oui","0","Non",427
"2057","Non","1","Non",427
"2058","Oui","1","Oui",427
"2059","Oui","0","Oui",427
"2060","Oui","2","Oui",427
"2062","Oui","0","Non",427
"2064","Oui","0","Oui",385
"2066","Oui","2","Non",385
"2068","Non","0","Oui",337
"2069","Oui","0","Oui",337
"2070","Oui","0","Non",337
"2071","Oui","2","Non",337
"2072","Oui","2","Oui",337
"2074","Oui","0","Oui",337
"2075","Oui","2","Oui",337
"2076","Oui","0","Non",337
"2077","Non","0","Non",337
"2079","Non","0","Oui",337
"2080","Oui","1","Oui",337
"2083","Oui","1","Oui",337
"2084","Non","2","Oui",1275
"2086","Oui","0","Non",1275
"2087","Oui","2","Oui",1275
"2088","Oui","2","Oui",1275
"2089","Oui","0","Oui",1275
"2090","Oui","1","Non",1275
"2091","Non","0","Oui",1275
"2092","Oui","2","Oui",1275
"2093","Non","0","Non",1275
"2094","Non","1","Oui",1275
"2095","Oui","0","Non",1275
"2096","Oui","2","Oui",1275
"2097","Oui","2","Oui",1275
"2098","Oui","2","Oui",1275
"2099","Oui","2","Oui",1275
"2100","Oui","0","Non",410
"2102","Oui","0","Non",307
"2103","Oui","1","Non",307
"2104","Oui","1","Non",307
"2105","Oui","0","Non",307
"2106","Oui","0","Non",307
"2107","Oui","1","Non",307
"2108","Oui","0","Oui",307
"2109","Oui","0","Non",307
"2110","Oui","0","Non",307
"2111","Non","0","Non",307
"2114","Oui","0","Non",307
"2115","Oui","0","Non",307
"2116","Oui","2","Oui",307
"2117","Oui","0","Non",307
"2118","Oui","1","Non",307
"2119","Oui","2","Oui",307
"2121","Oui","0","Non",307
"2122","Oui","1","Non",307
"2123","Oui","0","Non",307
"2125","Oui","1","Non",307
"2126","Oui","0","Non",307
"2127","Oui","0","Oui",307
"2128","Non","0","Non",307
"2130","Oui","0","Non",307
"2132","Oui","0","Non",307
"2133","Oui","0","Non",307
"2134","Oui","0","Non",307
"2135","Oui","0","Non",307
"2137","Oui","0","Non",307
"2138","Oui","2","Non",307
"2141","Non","0","Oui",307
"2143","Oui","0","Oui",279
"2144","Oui","1","Non",279
"2145","Oui","0","Non",279
"2147","Oui","0","Oui",279
"2148","Oui","0","Non",279
"2149","Oui","0","Oui",279
"2150","Oui","0","Non",279
"2151","Oui","0","Non",279
"2152","Oui","0","Non",279
"2154","Non","0","Non",279
"2155","Oui","0","Non",279
"2156","Oui","0","Non",279
"2157","Oui","1","Non",279
"2158","Non","0","Oui",279
"2159","Oui","0","Non",279
"2160","Oui","0","Oui",279
"2161","Oui","0","Non",279
"2164","Oui","0","Non",525
"2166","Oui","0","Non",226
"2167","Oui","1","Non",226
"2168","Oui","1","Non",226
"2170","Oui","0","Oui",759
"2171","Oui","0","Non",759
"2173","Oui","0","Oui",759
"2175","Oui","0","Non",759
"2176","Oui","1","Oui",759
"2177","Oui","2","Oui",864
"2178","Oui","2","Oui",864
"2180","Oui","0","Non",864
"2181","Oui","2","Oui",864
"2184","Oui","0","Oui",864
"2186","Oui","0","Oui",864
"2187","Oui","0","Oui",864
"2188","Non","2","Oui",864
"2189","Oui","1","Oui",864
"2190","Oui","0","Oui",864
"2191","Oui","2","Oui",864
"2192","Oui","0","Oui",864
"2193","Oui","2","Oui",864
"2194","Oui","0","Oui",864
"2195","Oui","2","Oui",864
"2196","Oui","0","Non",387
"2198","Oui","0","Non",387
"2199","Oui","0","Non",387
"2201","Oui","2","Oui",387
"2202","Oui","2","Oui",387
"2203","Oui","0","Oui",387
"2204","Oui","0","Oui",387
"2205","Oui","2","Oui",387
"2206","Non","1","Oui",387
"2207","Oui","2","Oui",387
"2208","Non","0","Non",387
"2210","Oui","1","Oui",387
"2211","Oui","0","Oui",387
"2213","Oui","0","Oui",387
"2214","Oui","0","Oui",387
"2216","Oui","2","Oui",387
"2219","Oui","0","Non",387
"2220","Oui","0","Oui",387
"2222","Oui","0","Non",387
"2223","Oui","0","Oui",387
"2227","Oui","0","Oui",387
"2228","Non","0","Non",387
"2230","Oui","0","Non",387
"2231","Oui","0","Oui",387
"2232","Oui","0","Non",387
"2233","Oui","1","Non",387
"2234","Oui","0","Non",387
"2235","Oui","1","Oui",387
"2238","Oui","1","Oui",387
"2239","Oui","0","Non",387
"2242","Oui","2","Oui",207
"2245","Oui","2","Oui",207
"2247","Oui","2","Oui",207
"2248","Oui","2","Oui",207
"2249","Oui","2","Oui",207
"2250","Non","0","Non",499
"2253","Oui","0","Non",499
"2254","Oui","0","Non",499
"2255","Non","0","Non",463
"2256","Oui","1","Oui",463
"2260","Oui","2","Oui",463
"2263","Oui","0","Oui",463
"2265","Oui","2","Oui",463
"2266","Oui","0","Non",463
"2267","Oui","0","Non",463
"2268","Oui","0","Oui",463
"2270","Oui","0","Non",463
"2271","Oui","0","Non",463
"2272","Oui","0","Oui",463
"2273","Oui","0","Oui",463
"2274","Oui","0","Non",463
"2275","Oui","0","Oui",463
"2276","Oui","0","Oui",463
"2277","Oui","1","Oui",463
"2278","Oui","2","Oui",463
"2279","Oui","0","Oui",463
"2280","Oui","0","Non",463
"2281","Oui","0","Non",463
"2282","Oui","0","Oui",463
"2285","Oui","0","Non",463
"2286","Oui","1","Non",463
"2287","Non","1","Oui",463
"2288","Oui","0","Oui",463
"2290","Oui","0","Oui",463
"2291","Oui","2","Non",463
"2292","Oui","0","Oui",463
"2293","Oui","2","Oui",902
"2295","Non","2","Oui",902
"2296","Oui","0","Oui",902
"2297","Oui","1","Oui",902
"2299","Oui","2","Oui",902
"2300","Non","2","Oui",902
"2301","Non","2","Oui",902
"2303","Oui","0","Oui",902
"2306","Non","0","Non",570
"2310","Oui","2","Oui",1133
"2311","Oui","2","Oui",1133
"2313","Oui","0","Oui",1133
"2314","Oui","0","Oui",2027
"2315","Oui","1","Oui",2027
"2316","Oui","0","Non",455
"2317","Oui","1","Non",455
"2318","Oui","0","Non",455
"2319","Non","0","Oui",455
"2320","Non","0","Non",455
"2321","Oui","0","Non",455
"2322","Oui","0","Oui",455
"2324","Oui","0","Oui",1071
"2325","Oui","0","Oui",1071
"2326","Oui","0","Oui",1071
"2328","Oui","0","Oui",1071
"2329","Oui","2","Non",1071
"2330","Oui","0","Oui",1071
"2331","Oui","0","Oui",1071
"2332","Oui","0","Oui",1071
"2334","Oui","0","Non",204
"2335","Non","0","Non",204
"2336","Non","0","Non",204
"2337","Oui","0","Non",204
"2338","Oui","0","Non",363
"2339","Oui","0","Oui",250
"2340","Oui","1","Non",250
"2341","Oui","0","Non",250
"2344","Oui","0","Oui",923
"2345","Non","0","Oui",923
"2346","Oui","1","Non",584
"2350","Non","0","Oui",584
"2351","Oui","2","Non",584
"2352","Non","2","Oui",1905
"2353","Oui","2","Oui",1905
"2355","Oui","2","Oui",1905
"2356","Oui","2","Oui",1905
"2357","Oui","2","Oui",1905
"2358","Oui","1","Oui",1905
"2359","Oui","2","Oui",1306
"2360","Oui","2","Oui",1306
"2361","Oui","2","Oui",1306
"2362","Oui","2","Oui",1306
"2363","Oui","2","Oui",1306
"2365","Oui","2","Oui",1306
"2366","Oui","2","Oui",1306
"2367","Oui","1","Oui",1306
"2368","Oui","2","Oui",1306
"2369","Non","2","Oui",1306
"2370","Oui","2","Oui",1306
"2371","Oui","2","Oui",1306
"2372","Oui","2","Oui",1306
"2373","Oui","2","Oui",1306
"2374","Oui","2","Oui",1306
"2376","Oui","0","Non",296
"2377","Oui","0","Non",298
"2380","Oui","0","Non",298
"2381","Oui","0","Non",298
"2382","Oui","0","Non",298
"2385","Oui","0","Oui",298
"2388","Oui","1","Non",298
"2389","Oui","2","Oui",298
"2391","Oui","0","Non",298
"2392","Oui","1","Oui",830
"2394","Oui","0","Oui",830
"2395","Oui","2","Oui",830
"2396","Oui","2","Oui",830
"2397","Oui","2","Oui",830
"2398","Oui","2","Oui",830
"2399","Oui","2","Oui",830
"2400","Oui","0","Oui",559
"2402","Oui","0","Non",559
"2403","Oui","0","Non",559
"2405","Oui","0","Oui",559
"2407","Oui","0","Oui",559
"2408","Non","0","Oui",559
"2410","Oui","0","Oui",559
"2412","Non","0","Non",559
"2413","Oui","0","Oui",559
"2414","Oui","0","Oui",559
"2415","Oui","2","Oui",559
"2416","Non","0","Non",559
"2417","Oui","1","Oui",559
"2418","Oui","2","Oui",484
"2419","Oui","0","Non",484
"2421","Non","0","Oui",484
"2422","Non","0","Non",484
"2423","Oui","2","Oui",484
"2424","Oui","0","Oui",484
"2425","Oui","0","Oui",484
"2426","Oui","1","Oui",484
"2427","Oui","0","Oui",994
"2428","Oui","2","Oui",994
"2429","Oui","0","Non",994
"2430","Oui","2","Oui",994
"2432","Oui","0","Non",287
"2433","Oui","0","Non",287
"2434","Oui","1","Oui",287
"2435","Oui","0","Non",287
"2436","Oui","0","Non",227
"2437","Oui","0","Non",227
"2439","Oui","2","Oui",931
"2440","Non","2","Oui",931
"2441","Oui","2","Oui",931
"2442","Oui","2","Oui",778
"2443","Oui","0","Oui",778
"2444","Oui","2","Oui",778
"2445","Oui","0","Oui",778
"2446","Oui","2","Oui",778
"2448","Oui","1","Oui",271
"2449","Oui","2","Oui",1122
"2450","Oui","2","Oui",1122
"2451","Oui","2","Oui",1122
